Expansion,Energy_Barrier,Stiffness,t,theta,L,s,gap,expL,area E
0.21508195444536424,0.20319302853364646,1.1047436029204207,0.16,0.1904,1,0.235256315,0.308120405,1.308120405,1.711178994
0.1717572416522065,0.056843798,1.150721262223186,0.16,0.2142,1,0.198849542,0.267516562,1.267516562,1.606598236
NULL,NULL,NULL,0.16,0.238,1,0.162330138,0.224041374,1.224041374,1.498277285
NULL,NULL,NULL,0.16,0.2618,1,0.125718789,0.177793325,1.177793325,1.387197116
NULL,NULL,NULL,0.16,0.2856,1,0.08903623,0.128877183,1.128877183,1.274363693
0.4318255739334968,0.3486236,0.6071132998062951,0.17037,-0.1666,1,0.720412824,0.503516427,1.503516427,2.260561647
0.433130816,0.620447731,1.4479112623240376,0.17081,-0.0476,1,0.555355016,0.508956684,1.508956684,2.276950275
0.432894495,0.3978173738261456,0.791269296,0.17292,-0.1428,1,0.680214472,0.50561994,1.50561994,2.266891404
0.4322192154968541,0.5545975644353265,1.292409791574993,0.17348,-0.0714,1,0.580465734,0.50726246,1.50726246,2.271840122
0.43286843940058933,0.44632740801910387,0.9603047347314003,0.17438,-0.119,1,0.643258104,0.506437057,1.506437057,2.269352607
0.4324012883729492,0.49780192634725073,1.1287259822030749,0.17461,-0.0952,1,0.609907947,0.506729589,1.506729589,2.270234053
0.40995270648396726,0.2637209530819007,0.585169366,0.17685,-0.1904,1,0.73078963,0.478035137,1.478035137,2.184587865
0.4266695156329437,0.6602633254526232,1.6899815127485411,0.17,-0.0238,1,0.52407293,0.502322791,1.502322791,2.256973767
0.3892813749647854,0.6792691364000102,1.109003816,0.17,0.0238,1,0.455649527,0.474301864,1.474301864,2.173565988
0.37240514301932287,0.6582403320611558,1.5239367848401681,0.17,0.0476,1,0.421040968,0.455263945,1.455263945,2.117793151
0.342350849,0.6127802843996035,0.7453004849231608,0.17,0.0714,1,0.386193926,0.43292937,1.43292937,2.05328658
0.3205708794782399,0.5443996017571725,1.3690056253002338,0.17,0.0952,1,0.351128139,0.407348734,1.407348734,1.980630458
0.40331632653061206,0.6789326154005888,0.7858623524938655,0.17,0,1,0.49,0.49,1.49,2.2201
0.28718621113656223,0.44942595000752694,0.881834054,0.17,0.119,1,0.315863468,0.378579985,1.378579985,1.900482774
0.2528615150944487,0.33231804509384444,0.69059028,0.17,0.1428,1,0.280419888,0.346688294,1.346688294,1.813569362
0.2178858895140749,0.20166157482226083,0.9112298377495227,0.17,0.1666,1,0.244817474,0.311745907,1.311745907,1.720677325
0.17625142851435627,0.071067554,0.7946097093625497,0.17,0.1904,1,0.209076392,0.27383198,1.27383198,1.622647913
NULL,NULL,NULL,0.17,0.2142,1,0.173216887,0.2330324,1.2330324,1.5203689
NULL,NULL,NULL,0.17,0.238,1,0.137259269,0.189439592,1.189439592,1.414766544
NULL,NULL,NULL,0.17,0.2618,1,0.101223906,0.143152309,1.143152309,1.306797201
0.411571073,0.3080161203628027,0.7997084494651298,0.18037,-0.1666,1,0.687955929,0.480831406,1.480831406,2.192861654
0.3962810805055512,0.5262976759364771,0.6894452067738316,0.18081,-0.0476,1,0.524564851,0.48073895,1.48073895,2.192587838
0.41155071099047735,0.3460494676959187,0.9984053102393371,0.18292,-0.1428,1,0.648054859,0.481714919,1.481714919,2.1954791
0.3962525172395957,0.47349403351196795,0.592137351,0.18348,-0.0714,1,0.549306537,0.480032789,1.480032789,2.190497056
0.4104837228797862,0.3851609720623249,1.1811084329133934,0.18438,-0.119,1,0.61141399,0.481366188,1.481366188,2.194445783
0.39733988091957695,0.42630803161347847,0.4701756215487675,0.18461,-0.0952,1,0.578397367,0.480549665,1.480549665,2.192027312
0.3908333712823716,0.234694849,0.7794811963778686,0.18685,-0.1904,1,0.698053836,0.456621506,1.456621506,2.12174621
0.38920284004804606,0.5566288437607593,0.8905274459664676,0.18,-0.0238,1,0.493669237,0.473180915,1.473180915,2.170262009
0.36257562122717696,0.5526123721499324,1.5759652668439703,0.18,0.0238,1,0.426070212,0.4435117,1.4435117,2.083726027
0.33492528962821005,0.5225045717536283,0.8269302347022733,0.18,0.0476,1,0.391899093,0.423753366,1.423753366,2.027073646
0.31527770961466256,0.4709374437739704,1.3952596481143353,0.18,0.0714,1,0.357505997,0.400769757,1.400769757,1.962155913
0.2841335176487254,0.39666541614072975,0.9001647874149848,0.18,0.0952,1,0.322910405,0.37461294,1.37461294,1.889560735
0.37729591836734666,0.563379608,1.191947699678992,0.18,0,1,0.46,0.46,1.46,2.1316
0.25192663797018994,0.30190664851341126,0.6694201549393424,0.18,0.119,1,0.288131912,0.345342168,1.345342168,1.809945548
0.21894101327607607,0.19278634407147072,0.8034306734877479,0.18,0.1428,1,0.253190217,0.313023749,1.313023749,1.724031364
0.17906372935977083,0.079308941,0.536605945,0.18,0.1666,1,0.218105112,0.277730894,1.277730894,1.632596238
NULL,NULL,NULL,0.18,0.1904,1,0.182896469,0.239543555,1.239543555,1.536468225
NULL,NULL,NULL,0.18,0.2142,1,0.147584231,0.198548238,1.198548238,1.436517879
NULL,NULL,NULL,0.18,0.238,1,0.1121884,0.154837811,1.154837811,1.333650369
NULL,NULL,NULL,0.18,0.2618,1,0.076729024,0.108511292,1.108511292,1.228797285
0.3801360982042206,0.2654066555426563,0.3323447244921576,0.19037,-0.1666,1,0.655499034,0.458146386,1.458146386,2.126190882
0.3718065112149649,0.43898324025784674,1.0324309039501547,0.19081,-0.0476,1,0.493774686,0.452521216,1.452521216,2.109817882
0.3702797803056355,0.17421192315957162,0.7207669157074013,0.19245,-0.2142,1,0.71031058,0.432559276,1.432559276,2.05222608
0.3790581575590079,0.2961346878949924,0.461602877,0.19292,-0.1428,1,0.615895246,0.457809897,1.457809897,2.125209697
0.3726349394251045,0.3959940930251574,0.8997931103936964,0.19348,-0.0714,1,0.51814734,0.452803118,1.452803118,2.1106369
0.37701046332015514,0.32762209894900374,0.5999639695164477,0.19438,-0.119,1,0.579569875,0.456295319,1.456295319,2.120796055
